Timestamp,Node,CPU(cores),CPU(%),Memory(bytes),Memory(%)
2023-12-25 17:55:55,master,586m,29%,4063Mi,51%
2023-12-25 17:55:55,worker1,87m,8%,541Mi,72%
2023-12-25 17:55:55,worker10,39m,3%,534Mi,67%
2023-12-25 17:55:55,worker11,57m,5%,531Mi,66%
2023-12-25 17:55:55,worker12,72m,7%,546Mi,73%
2023-12-25 17:55:55,worker13,30m,3%,552Mi,74%
2023-12-25 17:55:55,worker14,104m,10%,596Mi,75%
2023-12-25 17:55:55,worker15,87m,8%,591Mi,74%
2023-12-25 17:55:55,worker16,50m,5%,575Mi,72%
2023-12-25 17:55:55,worker17,55m,5%,603Mi,76%
2023-12-25 17:55:55,worker18,57m,5%,579Mi,72%
2023-12-25 17:55:55,worker19,96m,9%,598Mi,75%
2023-12-25 17:55:55,worker2,52m,5%,594Mi,74%
2023-12-25 17:55:55,worker20,66m,6%,606Mi,76%
2023-12-25 17:55:55,worker21,154m,15%,629Mi,79%
2023-12-25 17:55:55,worker3,50m,5%,557Mi,70%
2023-12-25 17:55:55,worker4,39m,3%,519Mi,69%
2023-12-25 17:55:55,worker6,172m,8%,2512Mi,32%
2023-12-25 17:55:55,worker7,175m,8%,3217Mi,41%
2023-12-25 17:55:55,worker8,100m,10%,595Mi,74%
2023-12-25 17:55:55,worker9,50m,5%,523Mi,65%
