Timestamp,Node,CPU(cores),CPU(%),Memory(bytes),Memory(%)
2023-12-31 02:21:53,master,149m,7%,2598Mi,33%
2023-12-31 02:21:53,worker10,53m,5%,557Mi,74%
2023-12-31 02:21:53,worker11,52m,5%,544Mi,73%
2023-12-31 02:21:53,worker12,45m,4%,534Mi,71%
2023-12-31 02:21:53,worker13,88m,8%,572Mi,76%
2023-12-31 02:21:53,worker14,73m,7%,565Mi,76%
2023-12-31 02:21:53,worker15,87m,8%,563Mi,75%
2023-12-31 02:21:53,worker16,44m,4%,563Mi,75%
2023-12-31 02:21:53,worker17,46m,4%,556Mi,74%
2023-12-31 02:21:53,worker18,29m,2%,507Mi,68%
2023-12-31 02:21:53,worker2,40m,4%,515Mi,69%
2023-12-31 02:21:53,worker20,53m,5%,569Mi,76%
2023-12-31 02:21:53,worker3,38m,3%,540Mi,72%
2023-12-31 02:21:53,worker6,46m,4%,558Mi,75%
2023-12-31 02:21:53,worker7,47m,4%,536Mi,72%
2023-12-31 02:21:53,worker8,51m,5%,552Mi,70%
2023-12-31 02:21:53,worker9,53m,5%,569Mi,76%
2023-12-31 02:21:53,worker121,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:21:53,worker1,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:21:53,worker19,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:08,master,227m,11%,2619Mi,33%
2023-12-31 02:22:08,worker10,61m,6%,557Mi,74%
2023-12-31 02:22:08,worker11,50m,5%,544Mi,73%
2023-12-31 02:22:08,worker12,43m,4%,534Mi,71%
2023-12-31 02:22:08,worker13,102m,10%,575Mi,77%
2023-12-31 02:22:08,worker14,86m,8%,555Mi,74%
2023-12-31 02:22:08,worker15,26m,2%,565Mi,75%
2023-12-31 02:22:08,worker16,46m,4%,562Mi,75%
2023-12-31 02:22:08,worker17,62m,6%,560Mi,75%
2023-12-31 02:22:08,worker18,33m,3%,507Mi,68%
2023-12-31 02:22:08,worker2,53m,5%,513Mi,68%
2023-12-31 02:22:08,worker20,83m,8%,567Mi,76%
2023-12-31 02:22:08,worker3,39m,3%,541Mi,72%
2023-12-31 02:22:08,worker6,63m,6%,558Mi,75%
2023-12-31 02:22:08,worker7,54m,5%,542Mi,72%
2023-12-31 02:22:08,worker8,47m,4%,550Mi,69%
2023-12-31 02:22:08,worker9,52m,5%,568Mi,76%
2023-12-31 02:22:08,worker1,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:08,worker121,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:08,worker19,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:23,master,331m,16%,2607Mi,33%
2023-12-31 02:22:23,worker10,76m,7%,561Mi,75%
2023-12-31 02:22:23,worker11,63m,6%,543Mi,73%
2023-12-31 02:22:23,worker12,52m,5%,531Mi,71%
2023-12-31 02:22:23,worker13,89m,8%,576Mi,77%
2023-12-31 02:22:23,worker14,148m,14%,559Mi,75%
2023-12-31 02:22:23,worker15,29m,2%,570Mi,76%
2023-12-31 02:22:23,worker16,66m,6%,565Mi,76%
2023-12-31 02:22:23,worker17,64m,6%,562Mi,75%
2023-12-31 02:22:23,worker18,36m,3%,507Mi,68%
2023-12-31 02:22:23,worker2,49m,4%,512Mi,68%
2023-12-31 02:22:23,worker20,59m,5%,564Mi,75%
2023-12-31 02:22:23,worker3,46m,4%,537Mi,72%
2023-12-31 02:22:23,worker6,64m,6%,556Mi,74%
2023-12-31 02:22:23,worker7,56m,5%,538Mi,72%
2023-12-31 02:22:23,worker8,59m,5%,550Mi,70%
2023-12-31 02:22:23,worker9,65m,6%,570Mi,76%
2023-12-31 02:22:23,worker1,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:23,worker121,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:23,worker19,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:38,master,293m,14%,2618Mi,33%
2023-12-31 02:22:38,worker10,69m,6%,557Mi,74%
2023-12-31 02:22:38,worker11,66m,6%,545Mi,73%
2023-12-31 02:22:38,worker12,55m,5%,534Mi,71%
2023-12-31 02:22:38,worker13,91m,9%,572Mi,76%
2023-12-31 02:22:38,worker14,114m,11%,554Mi,74%
2023-12-31 02:22:38,worker15,35m,3%,569Mi,76%
2023-12-31 02:22:38,worker16,58m,5%,565Mi,75%
2023-12-31 02:22:38,worker17,54m,5%,562Mi,75%
2023-12-31 02:22:38,worker18,32m,3%,507Mi,68%
2023-12-31 02:22:38,worker2,47m,4%,513Mi,68%
2023-12-31 02:22:38,worker20,53m,5%,564Mi,75%
2023-12-31 02:22:38,worker3,42m,4%,538Mi,72%
2023-12-31 02:22:38,worker6,60m,6%,561Mi,75%
2023-12-31 02:22:38,worker7,53m,5%,535Mi,71%
2023-12-31 02:22:38,worker8,49m,4%,550Mi,70%
2023-12-31 02:22:38,worker9,60m,6%,571Mi,76%
2023-12-31 02:22:38,worker19,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:38,worker121,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:38,worker1,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:53,master,171m,8%,2620Mi,33%
2023-12-31 02:22:53,worker10,52m,5%,559Mi,75%
2023-12-31 02:22:53,worker11,54m,5%,547Mi,73%
2023-12-31 02:22:53,worker12,51m,5%,529Mi,71%
2023-12-31 02:22:53,worker13,86m,8%,574Mi,77%
2023-12-31 02:22:53,worker14,62m,6%,572Mi,77%
2023-12-31 02:22:53,worker15,22m,2%,569Mi,76%
2023-12-31 02:22:53,worker16,54m,5%,561Mi,75%
2023-12-31 02:22:53,worker17,55m,5%,565Mi,76%
2023-12-31 02:22:53,worker18,37m,3%,507Mi,68%
2023-12-31 02:22:53,worker2,46m,4%,513Mi,68%
2023-12-31 02:22:53,worker20,56m,5%,567Mi,76%
2023-12-31 02:22:53,worker3,36m,3%,538Mi,72%
2023-12-31 02:22:53,worker6,48m,4%,560Mi,75%
2023-12-31 02:22:53,worker7,43m,4%,537Mi,72%
2023-12-31 02:22:53,worker8,59m,5%,550Mi,70%
2023-12-31 02:22:53,worker9,57m,5%,569Mi,76%
2023-12-31 02:22:53,worker19,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:53,worker1,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:22:53,worker121,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:08,master,167m,8%,2599Mi,33%
2023-12-31 02:23:08,worker10,57m,5%,562Mi,75%
2023-12-31 02:23:08,worker11,48m,4%,549Mi,73%
2023-12-31 02:23:08,worker12,44m,4%,529Mi,71%
2023-12-31 02:23:08,worker13,97m,9%,575Mi,77%
2023-12-31 02:23:08,worker14,78m,7%,561Mi,75%
2023-12-31 02:23:08,worker15,23m,2%,571Mi,76%
2023-12-31 02:23:08,worker16,49m,4%,563Mi,75%
2023-12-31 02:23:08,worker17,57m,5%,562Mi,75%
2023-12-31 02:23:08,worker18,31m,3%,507Mi,68%
2023-12-31 02:23:08,worker2,40m,4%,513Mi,69%
2023-12-31 02:23:08,worker20,49m,4%,564Mi,75%
2023-12-31 02:23:08,worker3,34m,3%,539Mi,72%
2023-12-31 02:23:08,worker6,57m,5%,567Mi,76%
2023-12-31 02:23:08,worker7,44m,4%,537Mi,72%
2023-12-31 02:23:08,worker8,50m,5%,549Mi,69%
2023-12-31 02:23:08,worker9,49m,4%,570Mi,76%
2023-12-31 02:23:08,worker1,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:08,worker19,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:08,worker121,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:24,master,405m,20%,2599Mi,33%
2023-12-31 02:23:24,worker10,76m,7%,558Mi,75%
2023-12-31 02:23:24,worker11,81m,8%,548Mi,73%
2023-12-31 02:23:24,worker13,95m,9%,573Mi,77%
2023-12-31 02:23:24,worker14,96m,9%,555Mi,74%
2023-12-31 02:23:24,worker15,28m,2%,571Mi,76%
2023-12-31 02:23:24,worker16,60m,6%,560Mi,75%
2023-12-31 02:23:24,worker17,65m,6%,560Mi,75%
2023-12-31 02:23:24,worker18,37m,3%,509Mi,68%
2023-12-31 02:23:24,worker2,51m,5%,518Mi,69%
2023-12-31 02:23:24,worker20,56m,5%,570Mi,76%
2023-12-31 02:23:24,worker3,54m,5%,543Mi,72%
2023-12-31 02:23:24,worker6,67m,6%,565Mi,75%
2023-12-31 02:23:24,worker7,69m,6%,539Mi,72%
2023-12-31 02:23:24,worker8,59m,5%,552Mi,70%
2023-12-31 02:23:24,worker9,73m,7%,575Mi,77%
2023-12-31 02:23:24,worker12,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:24,worker121,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:24,worker19,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:24,worker1,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,master,181m,9%,2602Mi,33%
2023-12-31 02:23:39,worker10,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker12,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker2,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker20,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker8,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker13,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker16,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker17,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker19,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker3,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker11,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker14,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker15,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker18,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker7,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker1,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker121,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker6,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:39,worker9,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,master,96m,4%,2605Mi,33%
2023-12-31 02:23:54,worker20,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker13,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker15,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker17,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker1,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker2,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker7,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker16,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker18,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker19,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker6,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker10,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker11,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker12,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker14,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker9,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker121,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker3,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:23:54,worker8,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:24:09,master,633m,31%,2593Mi,33%
2023-12-31 02:24:09,worker12,549m,54%,399Mi,53%
2023-12-31 02:24:09,worker14,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:24:09,worker18,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:24:09,worker2,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:24:09,worker3,<unknown>,<unknown>,<unknown>,<unknown>
2023-12-31 02:24:09,worker10,<unknown>,<unknown>,<unknown>,<unknown>
